x,location,watershed,site_enviro,site_type,site_salinity,lattitude,longitude,elevation,max_elevation_watershed-m,wsp,group_by_water_shed_percent,group_by_elevation,distribution,watershed_order,mauka,norm_order,norm_watershed_order,watershed_mauka,type_norm_order
25,Bog.1000m,HONOKOHAU,NativeForest,Bog,Freshwater,20.8991984,-156.5883429,1615.4,1761,0.917319705,MAUKA.1,MAUKA.1,3,HONOKOHAU_3,MAUKA,1,HONOKOHAU_1,HONOKOHAU_MAUKA,1.Pristine_HONOKOHAU_1
26,Bog.100m,HONOKOHAU,NativeForest,Bog,Freshwater,20.8914899,-156.5866428,1746.6,1761,0.991822828,MAUKA.1,MAUKA.1,1,HONOKOHAU_1,MAUKA,1,HONOKOHAU_1,HONOKOHAU_MAUKA,2.Aggriculture_HONOKOHAU_1
27,Bog.1100m,HONOKOHAU,NativeForest,Bog,Freshwater,20.9000592,-156.5886782,1605.8,1761,0.911868257,MAUKA.1,MAUKA.1,3,HONOKOHAU_3,MAUKA,1,HONOKOHAU_1,HONOKOHAU_MAUKA,1.Pristine_HONOKOHAU_1
28,Bog.1200m,HONOKOHAU,NativeForest,Bog,Freshwater,20.9008134,-156.589232,1596.8,1761,0.906757524,MAUKA.1,MAUKA.1,4,HONOKOHAU_4,MAUKA,1,HONOKOHAU_1,HONOKOHAU_MAUKA,1.Pristine_HONOKOHAU_1
29,Bog.1300m,HONOKOHAU,NativeForest,Bog,Freshwater,20.9016202,-156.5896451,1584.4,1761,0.89971607,MAUKA.1,MAUKA.1,4,HONOKOHAU_4,MAUKA,1,HONOKOHAU_1,HONOKOHAU_MAUKA,1.Pristine_HONOKOHAU_1
30,Bog.1400m,HONOKOHAU,NativeForest,Bog,Freshwater,20.9023942,-156.5900763,1564.8,1761,0.888586031,MAUKA.1,MAUKA.1,4,HONOKOHAU_4,MAUKA,1,HONOKOHAU_1,HONOKOHAU_MAUKA,1.Pristine_HONOKOHAU_1
31,Bog.1500m,HONOKOHAU,NativeForest,Bog,Freshwater,20.9030018,-156.5908475,1549.4,1761,0.879840999,MAUKA.1,MAUKA.1,5,HONOKOHAU_5,MAUKA,2,HONOKOHAU_2,HONOKOHAU_MAUKA,1.Pristine_HONOKOHAU_2
32,Bog.1600m,HONOKOHAU,NativeForest,Bog,Freshwater,20.9038875,-156.5912149,1536.9,1761,0.87274276,MAUKA.1,MAUKA.1,5,HONOKOHAU_5,MAUKA,2,HONOKOHAU_2,HONOKOHAU_MAUKA,1.Pristine_HONOKOHAU_2
33,Bog.1700m,HONOKOHAU,NativeForest,Bog,Freshwater,20.9043693,-156.591891,1527.6,1761,0.86746167,MAUKA.1,MAUKA.1,5,HONOKOHAU_5,MAUKA,2,HONOKOHAU_2,HONOKOHAU_MAUKA,1.Pristine_HONOKOHAU_2
34,Bog.1800m,HONOKOHAU,NativeForest,Bog,Freshwater,20.9050969,-156.5922918,1516.2,1761,0.860988075,MAUKA.1,MAUKA.1,5,HONOKOHAU_5,MAUKA,2,HONOKOHAU_2,HONOKOHAU_MAUKA,1.Pristine_HONOKOHAU_2
35,Bog.1900m,HONOKOHAU,NativeForest,Bog,Freshwater,20.9058874,-156.5925963,1501.5,1761,0.852640545,MAUKA.1,MAUKA.1,6,HONOKOHAU_6,MAUKA,2,HONOKOHAU_2,HONOKOHAU_MAUKA,1.Pristine_HONOKOHAU_2
36,Bog.2000m,HONOKOHAU,NativeForest,Bog,Freshwater,20.9065297,-156.5924662,1490.1,1761,0.846166951,MAUKA.1,MAUKA.1,6,HONOKOHAU_6,MAUKA,2,HONOKOHAU_2,HONOKOHAU_MAUKA,1.Pristine_HONOKOHAU_2
37,Bog.2100m,HONOKOHAU,NativeForest,Bog,Freshwater,20.9072889,-156.5923642,1472.8,1761,0.836342987,MAUKA.1,MAUKA.1,6,HONOKOHAU_6,MAUKA,2,HONOKOHAU_2,HONOKOHAU_MAUKA,1.Pristine_HONOKOHAU_2
38,Bog.2200m,HONOKOHAU,NativeForest,Bog,Freshwater,20.9079708,-156.5923141,1459.6,1761,0.828847246,MAUKA.1,MAUKA.1,7,HONOKOHAU_7,MAUKA,2,HONOKOHAU_2,HONOKOHAU_MAUKA,1.Pristine_HONOKOHAU_2
39,Bog.2300m,HONOKOHAU,NativeForest,Bog,Freshwater,20.9085019,-156.5921425,1450.7,1761,0.823793299,MAUKA.1,MAUKA.1,7,HONOKOHAU_7,MAUKA,2,HONOKOHAU_2,HONOKOHAU_MAUKA,1.Pristine_HONOKOHAU_2
40,Bog.2500m,HONOKOHAU,NativeForest,Bog,Freshwater,20.9093126,-156.5919574,1426,1761,0.809767178,MAUKA.1,MAUKA.1,8,HONOKOHAU_8,MAUKA,2,HONOKOHAU_2,HONOKOHAU_MAUKA,1.Pristine_HONOKOHAU_2
41,Bog.2600m,HONOKOHAU,NativeForest,Bog,Freshwater,20.9100717,-156.5920164,1402.5,1761,0.796422487,MAUKA.2,MAUKA.1,8,HONOKOHAU_8,MAUKA,3,HONOKOHAU_3,HONOKOHAU_MAUKA,1.Pristine_HONOKOHAU_3
42,Bog.2700m,HONOKOHAU,NativeForest,Bog,Freshwater,20.9107477,-156.5920888,1388.8,1761,0.788642817,MAUKA.2,MAUKA.2,9,HONOKOHAU_9,MAUKA,3,HONOKOHAU_3,HONOKOHAU_MAUKA,1.Pristine_HONOKOHAU_3
43,Bog.300m,HONOKOHAU,NativeForest,Bog,Freshwater,20.8934117,-156.586787,1721.1,1761,0.977342419,MAUKA.1,MAUKA.1,1,HONOKOHAU_1,MAUKA,1,HONOKOHAU_1,HONOKOHAU_MAUKA,2.Aggriculture_HONOKOHAU_1
44,Bog.400m,HONOKOHAU,NativeForest,Bog,Freshwater,20.8942514,-156.5870132,1703.1,1761,0.967120954,MAUKA.1,MAUKA.1,1,HONOKOHAU_1,MAUKA,1,HONOKOHAU_1,HONOKOHAU_MAUKA,1.Pristine_HONOKOHAU_1
45,Bog.500m,HONOKOHAU,NativeForest,Bog,Freshwater,20.8950833,-156.5872331,1678.6,1761,0.953208404,MAUKA.1,MAUKA.1,2,HONOKOHAU_2,MAUKA,1,HONOKOHAU_1,HONOKOHAU_MAUKA,1.Pristine_HONOKOHAU_1
46,Bog.600m,HONOKOHAU,NativeForest,Bog,Freshwater,20.8958701,-156.5874584,1666.4,1761,0.946280522,MAUKA.1,MAUKA.1,2,HONOKOHAU_2,MAUKA,1,HONOKOHAU_1,HONOKOHAU_MAUKA,1.Pristine_HONOKOHAU_1
47,Bog.700m,HONOKOHAU,NativeForest,Bog,Freshwater,20.8967033,-156.587681,1658.6,1761,0.941851221,MAUKA.1,MAUKA.1,2,HONOKOHAU_2,MAUKA,1,HONOKOHAU_1,HONOKOHAU_MAUKA,1.Pristine_HONOKOHAU_1
48,Bog.800m,HONOKOHAU,NativeForest,Bog,Freshwater,20.897497,-156.5881122,1652.8,1761,0.938557638,MAUKA.1,MAUKA.1,2,HONOKOHAU_2,MAUKA,1,HONOKOHAU_1,HONOKOHAU_MAUKA,1.Pristine_HONOKOHAU_1
49,Bog.900m,HONOKOHAU,NativeForest,Bog,Freshwater,20.8983239,-156.5883456,1642.3,1761,0.932595116,MAUKA.1,MAUKA.1,3,HONOKOHAU_3,MAUKA,1,HONOKOHAU_1,HONOKOHAU_MAUKA,1.Pristine_HONOKOHAU_1
50,Kiowaiokihawahina,HONOKOHAU,Freshwater,Bog,Freshwater,20.904338,-156.5921083,1525.4,1761,0.866212379,MAUKA.1,MAUKA.1,5,HONOKOHAU_5,MAUKA,2,HONOKOHAU_2,HONOKOHAU_MAUKA,1.Pristine_HONOKOHAU_2
51,Pristine.Lehua.Bog.1400m,HONOKOHAU,NativeForest,Bog,Freshwater,20.9023942,-156.5900763,1564.8,1761,0.888586031,MAUKA.1,MAUKA.1,4,HONOKOHAU_4,MAUKA,1,HONOKOHAU_1,HONOKOHAU_MAUKA,1.Pristine_HONOKOHAU_1
52,Summit.wai.200m.300m,HONOKOHAU,Freshwater,Bog,Freshwater,20.8924271,-156.5868105,1734.3,1761,0.98483816,MAUKA.1,MAUKA.1,1,HONOKOHAU_1,MAUKA,1,HONOKOHAU_1,HONOKOHAU_MAUKA,2.Aggriculture_HONOKOHAU_1
53,Honolua.bay.left.muliwai,HONOLUA,Brackish,Muliwai,Brackish,21.01324,-156.63898,11,1316,0.008358663,MAKAI,MAKAI,6,HONOLUA_6,MAKAI,8,HONOLUA_8,HONOLUA_MAKAI,1.Pristine_HONOLUA_8
54,Honolua.bay.middle,HONOLUA,Marine,Ocean,Marine,21.0137,-156.63842,0,1316,0,KAI,KAI,8,HONOLUA_8,KAI,10,HONOLUA_10,HONOLUA_KAI,1.Pristine_HONOLUA_10
55,Honolua.bay.right.side,HONOLUA,Marine,Ocean,Marine,21.01437,-156.63816,0,1316,0,KAI,KAI,9,HONOLUA_9,KAI,11,HONOLUA_11,HONOLUA_KAI,1.Pristine_HONOLUA_11
56,Honolua.kaawai.uka.t24.N,HONOLUA,Freshwater,Stream,Freshwater,20.9789215,-156.6175817,268.4,1316,0.203951368,MID.1,MAUKA.3,4,HONOLUA_4,KALA,4,HONOLUA_4,HONOLUA_KALA,1.Pristine_HONOLUA_4
57,Honolua.Kahawai.uka,HONOLUA,Freshwater,Stream,Freshwater,20.9819,-156.618483,247.7,1316,0.188221884,MID.2,MID.1,5,HONOLUA_5,KALA,6,HONOLUA_6,HONOLUA_KALA,1.Pristine_HONOLUA_6
58,Honolua.kahwai.uka.1.K,HONOLUA,Freshwater,Stream,Freshwater,20.98105,-156.618367,262,1316,0.199088146,MID.2,MAUKA.3,4,HONOLUA_4,KALA,6,HONOLUA_6,HONOLUA_KALA,1.Pristine_HONOLUA_6
59,Honolua.kahwai.uka.2.L,HONOLUA,Freshwater,Stream,Freshwater,20.979817,-156.61795,303.9,1316,0.230927052,MID.1,MAUKA.3,2,HONOLUA_2,KALA,4,HONOLUA_4,HONOLUA_KALA,1.Pristine_HONOLUA_4
60,Honolua.kahwai.uka.3.M,HONOLUA,Freshwater,Stream,Freshwater,20.979817,-156.617217,303.9,1316,0.230927052,MID.1,MAUKA.3,2,HONOLUA_2,KALA,4,HONOLUA_4,HONOLUA_KALA,1.Pristine_HONOLUA_4
61,Honolua.Kai,HONOLUA,Freshwater,Stream,Freshwater,20.99074,-156.62103,287.5,1316,0.218465046,MID.1,MAUKA.3,3,HONOLUA_3,KALA,4,HONOLUA_4,HONOLUA_KALA,1.Pristine_HONOLUA_4
62,Honolua.Kamaloi,HONOLUA,Freshwater,Stream,Freshwater,20.99074,-156.62103,287.5,1316,0.218465046,MID.1,MAUKA.3,3,HONOLUA_3,KALA,4,HONOLUA_4,HONOLUA_KALA,1.Pristine_HONOLUA_4
63,Honolua.Loi.1,HONOLUA,Agriculture,Loi,Freshwater,20.99074,-156.62103,287.5,1316,0.218465046,MID.1,MAUKA.3,3,HONOLUA_3,KALA,4,HONOLUA_4,HONOLUA_KALA,1.Pristine_HONOLUA_4
64,Honolua.Loi.10,HONOLUA,Agriculture,Loi,Freshwater,20.99074,-156.62103,287.5,1316,0.218465046,MID.1,MAUKA.3,3,HONOLUA_3,KALA,4,HONOLUA_4,HONOLUA_KALA,1.Pristine_HONOLUA_4
65,Honolua.Loi.11,HONOLUA,Agriculture,Loi,Freshwater,20.99074,-156.62103,287.5,1316,0.218465046,MID.1,MAUKA.3,3,HONOLUA_3,KALA,4,HONOLUA_4,HONOLUA_KALA,1.Pristine_HONOLUA_4
66,Honolua.Loi.12,HONOLUA,Agriculture,Loi,Freshwater,20.99074,-156.62103,287.5,1316,0.218465046,MID.1,MAUKA.3,3,HONOLUA_3,KALA,4,HONOLUA_4,HONOLUA_KALA,1.Pristine_HONOLUA_4
67,Honolua.Loi.2,HONOLUA,Agriculture,Loi,Freshwater,20.99074,-156.62103,287.5,1316,0.218465046,MID.1,MAUKA.3,3,HONOLUA_3,KALA,4,HONOLUA_4,HONOLUA_KALA,1.Pristine_HONOLUA_4
68,Honolua.Loi.3,HONOLUA,Agriculture,Loi,Freshwater,20.99074,-156.62103,287.5,1316,0.218465046,MID.1,MAUKA.3,3,HONOLUA_3,KALA,4,HONOLUA_4,HONOLUA_KALA,1.Pristine_HONOLUA_4
69,Honolua.Loi.4,HONOLUA,Agriculture,Loi,Freshwater,20.99074,-156.62103,287.5,1316,0.218465046,MID.1,MAUKA.3,3,HONOLUA_3,KALA,4,HONOLUA_4,HONOLUA_KALA,1.Pristine_HONOLUA_4
70,Honolua.Loi.5,HONOLUA,Agriculture,Loi,Freshwater,20.99074,-156.62103,287.5,1316,0.218465046,MID.1,MAUKA.3,3,HONOLUA_3,KALA,4,HONOLUA_4,HONOLUA_KALA,1.Pristine_HONOLUA_4
71,Honolua.Loi.6,HONOLUA,Agriculture,Loi,Freshwater,20.99074,-156.62103,287.5,1316,0.218465046,MID.1,MAUKA.3,3,HONOLUA_3,KALA,4,HONOLUA_4,HONOLUA_KALA,1.Pristine_HONOLUA_4
72,Honolua.Loi.7,HONOLUA,Agriculture,Loi,Freshwater,20.99074,-156.62103,287.5,1316,0.218465046,MID.1,MAUKA.3,3,HONOLUA_3,KALA,4,HONOLUA_4,HONOLUA_KALA,1.Pristine_HONOLUA_4
73,Honolua.Loi.8,HONOLUA,Agriculture,Loi,Freshwater,20.99074,-156.62103,287.5,1316,0.218465046,MID.1,MAUKA.3,3,HONOLUA_3,KALA,4,HONOLUA_4,HONOLUA_KALA,1.Pristine_HONOLUA_4
74,Honolua.Loi.9,HONOLUA,Agriculture,Loi,Freshwater,20.99203,-156.62154,270.9,1316,0.205851064,MID.1,MAUKA.3,3,HONOLUA_3,KALA,4,HONOLUA_4,HONOLUA_KALA,1.Pristine_HONOLUA_4
75,Mokuleia.Punawai,HONOLUA,Freshwater,Spring,Freshwater,21.011706,-156.641555,3.2,1316,0.002431611,MAKAI,MAKAI,7,HONOLUA_7,MAKAI,8,HONOLUA_8,HONOLUA_MAKAI,1.Pristine_HONOLUA_8
76,Olona.grove,HONOLUA,Agriculture,Soil,Freshwater,20.9575793,-156.6268109,543.6,1761,0.308688245,MID.1,MAUKA.2,1,HONOLUA_1,MAUKA,3,HONOLUA_3,HONOLUA_MAUKA,1.Pristine_HONOLUA_3
77,Kohoma.crossing,KAHOMA,Freshwater,Stream,Freshwater,20.8936,-156.66415,113.9,1757,0.064826409,MID.2,MID.2,2,KAHOMA_2,KALA,5,KAHOMA_5,KAHOMA_KALA,1.Pristine_KAHOMA_5
78,Kohoma.mauka,KAHOMA,Freshwater,Stream,Freshwater,20.89595,-156.659967,144.9,1757,0.08247012,MID.2,MID.2,1,KAHOMA_1,KALA,5,KAHOMA_5,KAHOMA_KALA,1.Pristine_KAHOMA_5
79,Lahina.Mokuula,LAHAINA,Freshwater,Stream,Freshwater,20.8673889,-156.6758086,0.6,765,0.000784314,MAKAI,MAKAI,1,LAHAINA_1,MAKAI,7,LAHAINA_7,LAHAINA_MAKAI,1.Pristine_LAHAINA_7
80,Launiupoko.mauka,LAUNIUPOKO,Freshwater,Stream,Freshwater,20.866817,-156.653717,110.7,1426,0.077629734,MID.2,MID.2,1,LAUNIUPOKO_1,KALA,5,LAUNIUPOKO_5,LAUNIUPOKO_KALA,1.Pristine_LAUNIUPOKO_5
81,Olowalu.8.Mauka.beta,OLOWALU,Freshwater,Stream,Freshwater,20.82275,-156.612567,64.2,1587,0.040453686,MAKAI,MID.2,1,OLOWALU_1,MAKAI,7,OLOWALU_7,OLOWALU_MAKAI,1.Pristine_OLOWALU_7
82,Olowalu.bridge.gamma,OLOWALU,Freshwater,Stream,Freshwater,20.819733,-156.618133,40.3,1587,0.025393825,MAKAI,MAKAI,2,OLOWALU_2,MAKAI,7,OLOWALU_7,OLOWALU_MAKAI,1.Pristine_OLOWALU_7
83,KalepaA.muliwai,WAIHEE,Brackish,Muliwai,Brackish,20.9340476,-156.5039604,1,1736,0.000576037,MAKAI,MAKAI,7,WAIHEE_7,MAKAI,8,WAIHEE_8,WAIHEE_MAKAI,1.Pristine_WAIHEE_8
84,KalepaB.Kope.muliwai,WAIHEE,Brackish,Muliwai,Brackish,20.9336268,-156.5039979,1.9,1736,0.00109447,MAKAI,MAKAI,6,WAIHEE_6,MAKAI,8,WAIHEE_8,WAIHEE_MAKAI,1.Pristine_WAIHEE_8
85,Kapoho.fishpond,WAIHEE,Agriculture,Fishpond,Brackish,20.9346018,-156.5088389,30.3,1736,0.017453917,MAKAI,MAKAI,4,WAIHEE_4,MAKAI,8,WAIHEE_8,WAIHEE_MAKAI,1.Pristine_WAIHEE_8
86,Kapoho.village,WAIHEE,Agriculture,Fishpond,Brackish,20.9339904,-156.5084661,30.7,1736,0.017684332,MAKAI,MAKAI,4,WAIHEE_4,MAKAI,8,WAIHEE_8,WAIHEE_MAKAI,1.Pristine_WAIHEE_8
87,KapunaFarms.Hoiwai,WAIHEE,Agriculture,Loi,Freshwater,20.94208,-156.52524,67.8,1736,0.0390553,MAKAI,MID.2,2,WAIHEE_2,MAKAI,7,WAIHEE_7,WAIHEE_MAKAI,1.Pristine_WAIHEE_7
88,KapunaFarms.Maluhia_Makawai,WAIHEE,Agriculture,Loi,Freshwater,20.94264,-156.5264,74,1736,0.042626728,MAKAI,MID.2,1,WAIHEE_1,MAKAI,7,WAIHEE_7,WAIHEE_MAKAI,1.Pristine_WAIHEE_7
89,KapunaFarms.Poowai,WAIHEE,Agriculture,Loi,Freshwater,20.94254,-156.52691,74.3,1736,0.042799539,MAKAI,MID.2,1,WAIHEE_1,MAKAI,7,WAIHEE_7,WAIHEE_MAKAI,1.Pristine_WAIHEE_7
90,KapunaFarms.tub,WAIHEE,Agriculture,Loi,Freshwater,20.94256,-156.52587,73.4,1736,0.042281106,MAKAI,MID.2,1,WAIHEE_1,MAKAI,7,WAIHEE_7,WAIHEE_MAKAI,2.Aggriculture_WAIHEE_7
91,Waiehu.Auwai.Low.Loi.E,WAIHEE,Agriculture,Loi,Freshwater,20.9422072,-156.5192625,66,1736,0.038018433,MAKAI,MID.2,3,WAIHEE_3,MAKAI,7,WAIHEE_7,WAIHEE_MAKAI,1.Pristine_WAIHEE_7
92,Waiehu.loi.A,WAIHEE,Agriculture,Loi,Freshwater,20.94211298,-156.5195955,66,1736,0.038018433,MAKAI,MID.2,3,WAIHEE_3,MAKAI,7,WAIHEE_7,WAIHEE_MAKAI,1.Pristine_WAIHEE_7
93,Waiehu.loi.Auwai.Pipe,WAIHEE,Agriculture,Loi,Freshwater,20.9420231,-156.519689,66,1736,0.038018433,MAKAI,MID.2,3,WAIHEE_3,MAKAI,7,WAIHEE_7,WAIHEE_MAKAI,1.Pristine_WAIHEE_7
94,Waiehu.loi.B,WAIHEE,Agriculture,Loi,Freshwater,20.94212097,-156.5194295,66,1736,0.038018433,MAKAI,MID.2,3,WAIHEE_3,MAKAI,7,WAIHEE_7,WAIHEE_MAKAI,1.Pristine_WAIHEE_7
95,Waiehu.loi.C,WAIHEE,Agriculture,Loi,Freshwater,20.94219042,-156.5194987,66,1736,0.038018433,MAKAI,MID.2,3,WAIHEE_3,MAKAI,7,WAIHEE_7,WAIHEE_MAKAI,1.Pristine_WAIHEE_7
96,Waiehu.loi.D,WAIHEE,Agriculture,Loi,Freshwater,20.94221486,-156.5194081,66,1736,0.038018433,MAKAI,MID.2,3,WAIHEE_3,MAKAI,7,WAIHEE_7,WAIHEE_MAKAI,1.Pristine_WAIHEE_7
97,Waiehu.loi.E,WAIHEE,Agriculture,Loi,Freshwater,20.94217232,-156.5192893,66,1736,0.038018433,MAKAI,MID.2,3,WAIHEE_3,MAKAI,7,WAIHEE_7,WAIHEE_MAKAI,1.Pristine_WAIHEE_7
98,Waihee.muliwai,WAIHEE,Brackish,Muliwai,Brackish,20.94755,-156.510267,3.2,1736,0.001843318,MAKAI,MAKAI,5,WAIHEE_5,MAKAI,8,WAIHEE_8,WAIHEE_MAKAI,1.Pristine_WAIHEE_8
99,Waihee.muliwai.1,WAIHEE,Brackish,Muliwai,Brackish,20.94755,-156.510267,3.2,1736,0.001843318,MAKAI,MAKAI,5,WAIHEE_5,MAKAI,8,WAIHEE_8,WAIHEE_MAKAI,1.Pristine_WAIHEE_8
100,Waihee.muliwai.2,WAIHEE,Brackish,Muliwai,Brackish,20.9476433,-156.5098967,2,1736,0.001152074,MAKAI,MAKAI,5,WAIHEE_5,MAKAI,8,WAIHEE_8,WAIHEE_MAKAI,1.Pristine_WAIHEE_8
101,Waihee.muliwai.3,WAIHEE,Brackish,Muliwai,Brackish,20.9479464,-156.5093844,1.6,1736,0.000921659,MAKAI,MAKAI,6,WAIHEE_6,MAKAI,8,WAIHEE_8,WAIHEE_MAKAI,1.Pristine_WAIHEE_8
102,Nohoana.Auwai.low,WAIKAPU,Agriculture,Loi,Freshwater,20.8563661,-156.5103927,160.6,3053,0.052603996,MID.2,MID.1,3,WAIKAPU_3,KALA,5,WAIKAPU_5,WAIKAPU_KALA,1.Pristine_WAIKAPU_5
103,Nohoana.Auwai.up,WAIKAPU,Agriculture,Loi,Freshwater,20.8568724,-156.5101862,163.8,3053,0.053652145,MID.2,MID.1,2,WAIKAPU_2,KALA,5,WAIKAPU_5,WAIKAPU_KALA,1.Pristine_WAIKAPU_5
